Source,Target,correlation,module1,module2,adj_pvalue,edge_id,edge_id2
bact_ASV_5,bact_ASV_11,0.19838429399118152,turquoise,turquoise,2.0265896442336647e-31,bact_ASV_5 bact_ASV_11,bact_ASV_11 bact_ASV_5
bact_ASV_5,bact_ASV_17,0.03593505860954135,turquoise,turquoise,6.672354295362191e-10,bact_ASV_5 bact_ASV_17,bact_ASV_17 bact_ASV_5
bact_ASV_5,bact_ASV_9,0.1855602961615253,turquoise,turquoise,4.5748905446578317e-29,bact_ASV_5 bact_ASV_9,bact_ASV_9 bact_ASV_5
bact_ASV_5,bact_ASV_4,0.01345752652622798,turquoise,grey,3.094035468709264e-12,bact_ASV_5 bact_ASV_4,bact_ASV_4 bact_ASV_5
bact_ASV_5,bact_ASV_13,0.01102857238104967,turquoise,turquoise,7.429660521193515e-4,bact_ASV_5 bact_ASV_13,bact_ASV_13 bact_ASV_5
bact_ASV_5,bact_ASV_24,0.06945167110968553,turquoise,turquoise,3.1395133333354327e-19,bact_ASV_5 bact_ASV_24,bact_ASV_24 bact_ASV_5
bact_ASV_5,bact_ASV_21,0.22430202906297447,turquoise,turquoise,9.763195013559755e-41,bact_ASV_5 bact_ASV_21,bact_ASV_21 bact_ASV_5
bact_ASV_5,bact_ASV_22,0.06554036969013868,turquoise,turquoise,8.57757994351327e-25,bact_ASV_5 bact_ASV_22,bact_ASV_22 bact_ASV_5
bact_ASV_5,bact_ASV_35,0.03524939576022239,turquoise,grey,1.1913698100706315e-20,bact_ASV_5 bact_ASV_35,bact_ASV_35 bact_ASV_5
bact_ASV_5,bact_ASV_41,0.00558792198032028,turquoise,grey,1.761297619929226e-8,bact_ASV_5 bact_ASV_41,bact_ASV_41 bact_ASV_5
bact_ASV_5,bact_ASV_60,0.01296791559744371,turquoise,turquoise,3.5339095448633877e-12,bact_ASV_5 bact_ASV_60,bact_ASV_60 bact_ASV_5
bact_ASV_5,bact_ASV_45,0.00338111225054592,turquoise,grey,4.110708917151192e-6,bact_ASV_5 bact_ASV_45,bact_ASV_45 bact_ASV_5
bact_ASV_5,bact_ASV_47,0.04497485471522392,turquoise,turquoise,2.2514818381184064e-10,bact_ASV_5 bact_ASV_47,bact_ASV_47 bact_ASV_5
bact_ASV_5,bact_ASV_16,6.108695535547577e-4,turquoise,grey,1.2282002146324448e-4,bact_ASV_5 bact_ASV_16,bact_ASV_16 bact_ASV_5
bact_ASV_5,bact_ASV_33,0.16470334644749526,turquoise,turquoise,1.5136834773774951e-25,bact_ASV_5 bact_ASV_33,bact_ASV_33 bact_ASV_5
bact_ASV_5,bact_ASV_40,0.00185902524445123,turquoise,turquoise,2.2062111606675612e-5,bact_ASV_5 bact_ASV_40,bact_ASV_40 bact_ASV_5
bact_ASV_5,bact_ASV_73,0.10738200975525644,turquoise,turquoise,2.4723529226580114e-18,bact_ASV_5 bact_ASV_73,bact_ASV_73 bact_ASV_5
bact_ASV_5,bact_ASV_48,0.01013086637770945,turquoise,grey,4.5552296009211664e-10,bact_ASV_5 bact_ASV_48,bact_ASV_48 bact_ASV_5
bact_ASV_5,bact_ASV_68,0.04888028073361299,turquoise,turquoise,6.282192462278816e-19,bact_ASV_5 bact_ASV_68,bact_ASV_68 bact_ASV_5
bact_ASV_5,bact_ASV_84,0.07745647976065623,turquoise,turquoise,3.6090022844029813e-23,bact_ASV_5 bact_ASV_84,bact_ASV_84 bact_ASV_5
bact_ASV_5,bact_ASV_69,0.04050857306111036,turquoise,turquoise,4.845946651236172e-13,bact_ASV_5 bact_ASV_69,bact_ASV_69 bact_ASV_5
bact_ASV_5,bact_ASV_74,0.00515115569274874,turquoise,grey,5.717895410537458e-10,bact_ASV_5 bact_ASV_74,bact_ASV_74 bact_ASV_5
bact_ASV_5,bact_ASV_86,0.00214454441913698,turquoise,grey,1.3978872937910622e-6,bact_ASV_5 bact_ASV_86,bact_ASV_86 bact_ASV_5
bact_ASV_5,bact_ASV_87,0.04055802916961948,turquoise,grey,7.600730055940403e-20,bact_ASV_5 bact_ASV_87,bact_ASV_87 bact_ASV_5
bact_ASV_5,bact_ASV_75,0.02442909072147009,turquoise,turquoise,5.248358550065393e-4,bact_ASV_5 bact_ASV_75,bact_ASV_75 bact_ASV_5
bact_ASV_5,bact_ASV_92,0.09633803403915252,turquoise,turquoise,1.6452072966304458e-27,bact_ASV_5 bact_ASV_92,bact_ASV_92 bact_ASV_5
bact_ASV_5,bact_ASV_114,0.02167775387231195,turquoise,turquoise,7.22177011605351e-10,bact_ASV_5 bact_ASV_114,bact_ASV_114 bact_ASV_5
bact_ASV_5,bact_ASV_65,0.0706906545533961,turquoise,turquoise,1.671229909418703e-12,bact_ASV_5 bact_ASV_65,bact_ASV_65 bact_ASV_5
bact_ASV_5,bact_ASV_59,0.05192522243717074,turquoise,turquoise,3.1749196684839673e-7,bact_ASV_5 bact_ASV_59,bact_ASV_59 bact_ASV_5
bact_ASV_5,bact_ASV_131,0.12905113518711958,turquoise,turquoise,1.3332783569149006e-33,bact_ASV_5 bact_ASV_131,bact_ASV_131 bact_ASV_5
bact_ASV_5,bact_ASV_70,0.00132695332662404,turquoise,grey,2.808810661117511e-4,bact_ASV_5 bact_ASV_70,bact_ASV_70 bact_ASV_5
bact_ASV_5,bact_ASV_91,0.01662617590833837,turquoise,turquoise,9.058570479411828e-6,bact_ASV_5 bact_ASV_91,bact_ASV_91 bact_ASV_5
bact_ASV_5,bact_ASV_107,0.00580291591147093,turquoise,grey,4.3892986530685265e-11,bact_ASV_5 bact_ASV_107,bact_ASV_107 bact_ASV_5
bact_ASV_5,bact_ASV_124,0.12850836501435958,turquoise,turquoise,3.31081832816251e-28,bact_ASV_5 bact_ASV_124,bact_ASV_124 bact_ASV_5
bact_ASV_5,bact_ASV_98,0.00350637895508245,turquoise,turquoise,3.416259917289224e-9,bact_ASV_5 bact_ASV_98,bact_ASV_98 bact_ASV_5
bact_ASV_5,bact_ASV_99,0.01755236884647163,turquoise,grey,1.2027765105949261e-14,bact_ASV_5 bact_ASV_99,bact_ASV_99 bact_ASV_5
