"Id","Phylum","Class","Order","Family","Genus"
"bact_ASV_44","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_26","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_32","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_60","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae",NA
"bact_ASV_42","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"bact_ASV_45","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_47","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_16","Actinobacteriota","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium"
"bact_ASV_37","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_38","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"bact_ASV_63","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_58","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_49","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"bact_ASV_89","Firmicutes","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Alicyclobacillus"
"bact_ASV_71","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_53","Proteobacteria","Alphaproteobacteria","Elsterales",NA,NA
"bact_ASV_81","Actinobacteriota","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus"
"bact_ASV_105","Actinobacteriota","Actinobacteria","Streptosporangiales","Nocardiopsaceae",NA
"bact_ASV_33","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
"bact_ASV_40","Acidobacteriota","Acidobacteriae","Acidobacteriales",NA,NA
"bact_ASV_73","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae",NA
