OTU,Transect,Plot,Depth,value,Sample
ASV_14,A,C,B,-0.6468369156417797,TEITSACB
ASV_14,A,C,A,-0.659895580527698,TEITSACA
ASV_14,C,C,B,-0.6457997202687444,TEITSCCB
ASV_14,B,C,B,-0.6155499685796078,TEITSBCB
ASV_12,E,C,B,-0.6261911797330906,TEITSECB
ASV_12,E,C,A,-0.6158644382781722,TEITSECA
ASV_12,D,C,B,-0.6440541188487399,TEITSDCB
ASV_12,A,C,B,-0.6468369156417797,TEITSACB
ASV_12,A,C,A,-0.659895580527698,TEITSACA
ASV_12,C,C,B,-0.6457997202687444,TEITSCCB
ASV_12,B,C,B,-0.6155499685796078,TEITSBCB
ASV_9,E,C,B,-0.6261911797330906,TEITSECB
ASV_9,E,C,A,-0.6158644382781722,TEITSECA
ASV_9,D,C,B,-0.6440541188487399,TEITSDCB
ASV_9,A,C,B,-0.6468369156417797,TEITSACB
ASV_9,A,C,A,-0.659895580527698,TEITSACA
ASV_9,C,C,B,2.057755289339098,TEITSCCB
ASV_9,B,C,B,-0.6155499685796078,TEITSBCB
ASV_34,E,C,B,-0.6261911797330906,TEITSECB
ASV_34,E,C,A,-0.6158644382781722,TEITSECA
ASV_34,D,C,B,-0.6440541188487399,TEITSDCB
ASV_34,A,C,B,-0.6468369156417797,TEITSACB
ASV_34,A,C,A,-0.659895580527698,TEITSACA
ASV_34,C,C,B,-0.6457997202687444,TEITSCCB
ASV_34,B,C,B,-0.6155499685796078,TEITSBCB
ASV_49,E,C,B,-0.6261911797330906,TEITSECB
ASV_49,E,C,A,-0.6158644382781722,TEITSECA
ASV_49,D,C,B,3.2046667260641772,TEITSDCB
ASV_49,A,C,B,3.6945893402936107,TEITSACB
ASV_49,A,C,A,-0.659895580527698,TEITSACA
ASV_49,C,C,B,4.934155910961037,TEITSCCB
ASV_49,B,C,B,-0.6155499685796078,TEITSBCB
ASV_7,E,C,B,-0.6261911797330906,TEITSECB
ASV_7,E,C,A,-0.6158644382781722,TEITSECA
ASV_7,D,C,B,-0.6440541188487399,TEITSDCB
ASV_7,A,C,B,-0.6468369156417797,TEITSACB
ASV_7,A,C,A,-0.659895580527698,TEITSACA
ASV_7,C,C,B,-0.6457997202687444,TEITSCCB
ASV_7,B,C,B,-0.6155499685796078,TEITSBCB
ASV_48,E,C,B,-0.6261911797330906,TEITSECB
ASV_48,E,C,A,-0.6158644382781722,TEITSECA
ASV_48,D,C,B,6.012526218263721,TEITSDCB
ASV_48,A,C,B,-0.6468369156417797,TEITSACB
ASV_48,A,C,A,-0.659895580527698,TEITSACA
ASV_48,C,C,B,-0.6457997202687444,TEITSCCB
ASV_48,B,C,B,-0.6155499685796078,TEITSBCB
ASV_40,E,C,B,-0.6261911797330906,TEITSECB
ASV_40,E,C,A,-0.6158644382781722,TEITSECA
ASV_40,D,C,B,-0.6440541188487399,TEITSDCB
ASV_40,A,C,B,-0.6468369156417797,TEITSACB
ASV_40,A,C,A,-0.659895580527698,TEITSACA
ASV_40,C,C,B,7.61148117207726,TEITSCCB
ASV_40,B,C,B,10.252953324153518,TEITSBCB
ASV_45,E,C,B,-0.6261911797330906,TEITSECB
ASV_45,E,C,A,-0.6158644382781722,TEITSECA
ASV_45,D,C,B,-0.6440541188487399,TEITSDCB
ASV_45,A,C,B,-0.6468369156417797,TEITSACB
ASV_45,A,C,A,-0.659895580527698,TEITSACA
ASV_45,C,C,B,-0.6457997202687444,TEITSCCB
ASV_45,B,C,B,-0.6155499685796078,TEITSBCB
ASV_13,E,C,B,6.860093940882457,TEITSECB
ASV_13,E,C,A,-0.6158644382781722,TEITSECA
ASV_13,D,C,B,-0.6440541188487399,TEITSDCB
ASV_13,A,C,B,-0.6468369156417797,TEITSACB
ASV_13,A,C,A,-0.659895580527698,TEITSACA
ASV_13,C,C,B,8.253555972074134,TEITSCCB
ASV_13,B,C,B,-0.6155499685796078,TEITSBCB
ASV_74,E,C,B,-0.6261911797330906,TEITSECB
ASV_74,E,C,A,-0.6158644382781722,TEITSECA
ASV_74,D,C,B,-0.6440541188487399,TEITSDCB
ASV_74,A,C,B,-0.6468369156417797,TEITSACB
ASV_74,A,C,A,-0.659895580527698,TEITSACA
ASV_74,C,C,B,-0.6457997202687444,TEITSCCB
ASV_74,B,C,B,-0.6155499685796078,TEITSBCB
ASV_64,E,C,B,-0.6261911797330906,TEITSECB
ASV_64,E,C,A,-0.6158644382781722,TEITSECA
ASV_64,D,C,B,-0.6440541188487399,TEITSDCB
ASV_64,A,C,B,-0.6468369156417797,TEITSACB
ASV_64,A,C,A,-0.659895580527698,TEITSACA
ASV_64,C,C,B,-0.6457997202687444,TEITSCCB
ASV_64,B,C,B,-0.6155499685796078,TEITSBCB
ASV_35,E,C,B,-0.6261911797330906,TEITSECB
ASV_35,E,C,A,-0.6158644382781722,TEITSECA
ASV_35,D,C,B,-0.6440541188487399,TEITSDCB
ASV_35,A,C,B,-0.6468369156417797,TEITSACB
ASV_35,A,C,A,-0.659895580527698,TEITSACA
ASV_35,C,C,B,-0.6457997202687444,TEITSCCB
ASV_35,B,C,B,-0.6155499685796078,TEITSBCB
ASV_39,E,C,B,-0.6261911797330906,TEITSECB
ASV_39,E,C,A,-0.6158644382781722,TEITSECA
ASV_39,D,C,B,9.045416048259,TEITSDCB
ASV_39,A,C,B,4.567077369818216,TEITSACB
ASV_39,A,C,A,-0.659895580527698,TEITSACA
ASV_39,C,C,B,-0.6457997202687444,TEITSCCB
ASV_39,B,C,B,-0.6155499685796078,TEITSBCB
ASV_17,E,C,B,-0.6261911797330906,TEITSECB
ASV_17,E,C,A,-0.6158644382781722,TEITSECA
ASV_17,D,C,B,-0.6440541188487399,TEITSDCB
ASV_17,A,C,B,-0.6468369156417797,TEITSACB
ASV_17,A,C,A,-0.659895580527698,TEITSACA
ASV_17,C,C,B,-0.6457997202687444,TEITSCCB
ASV_17,B,C,B,-0.6155499685796078,TEITSBCB
ASV_94,E,C,B,-0.6261911797330906,TEITSECB
ASV_94,E,C,A,-0.6158644382781722,TEITSECA
ASV_94,D,C,B,-0.6440541188487399,TEITSDCB
ASV_94,A,C,B,-0.6468369156417797,TEITSACB
ASV_94,A,C,A,5.333815470391455,TEITSACA
ASV_94,C,C,B,-0.6457997202687444,TEITSCCB
ASV_94,B,C,B,-0.6155499685796078,TEITSBCB
ASV_19,E,C,B,-0.6261911797330906,TEITSECB
ASV_19,E,C,A,-0.6158644382781722,TEITSECA
ASV_19,D,C,B,-0.6440541188487399,TEITSDCB
ASV_19,A,C,B,-0.6468369156417797,TEITSACB
ASV_19,A,C,A,-0.659895580527698,TEITSACA
ASV_19,C,C,B,-0.6457997202687444,TEITSCCB
ASV_19,B,C,B,-0.6155499685796078,TEITSBCB
ASV_31,E,C,B,3.8408104411381228,TEITSECB
ASV_31,E,C,A,9.602074933288156,TEITSECA
ASV_31,D,C,B,9.368039164867689,TEITSDCB
ASV_31,A,C,B,6.010657342397442,TEITSACB
ASV_31,A,C,A,-0.659895580527698,TEITSACA
ASV_31,C,C,B,-0.6457997202687444,TEITSCCB
ASV_31,B,C,B,-0.6155499685796078,TEITSBCB
ASV_86,E,C,B,-0.6261911797330906,TEITSECB
ASV_86,E,C,A,-0.6158644382781722,TEITSECA
ASV_86,D,C,B,-0.6440541188487399,TEITSDCB
ASV_86,A,C,B,-0.6468369156417797,TEITSACB
ASV_86,A,C,A,-0.659895580527698,TEITSACA
ASV_86,C,C,B,6.035260157169116,TEITSCCB
ASV_86,B,C,B,-0.6155499685796078,TEITSBCB
ASV_82,E,C,B,-0.6261911797330906,TEITSECB
ASV_82,E,C,A,-0.6158644382781722,TEITSECA
ASV_82,D,C,B,-0.6440541188487399,TEITSDCB
ASV_82,A,C,B,-0.6468369156417797,TEITSACB
ASV_82,A,C,A,-0.659895580527698,TEITSACA
ASV_82,C,C,B,7.728035454806413,TEITSCCB
ASV_82,B,C,B,-0.6155499685796078,TEITSBCB
ASV_8,E,C,B,-0.6261911797330906,TEITSECB
ASV_8,E,C,A,-0.6158644382781722,TEITSECA
ASV_8,D,C,B,-0.6440541188487399,TEITSDCB
ASV_8,A,C,B,-0.6468369156417797,TEITSACB
ASV_8,A,C,A,-0.659895580527698,TEITSACA
ASV_8,C,C,B,-0.6457997202687444,TEITSCCB
ASV_8,B,C,B,-0.6155499685796078,TEITSBCB
ASV_63,E,C,B,-0.6261911797330906,TEITSECB
ASV_63,E,C,A,-0.6158644382781722,TEITSECA
ASV_63,D,C,B,-0.6440541188487399,TEITSDCB
ASV_63,A,C,B,-0.6468369156417797,TEITSACB
ASV_63,A,C,A,9.57567410559256,TEITSACA
ASV_63,C,C,B,4.418471547349192,TEITSCCB
ASV_63,B,C,B,-0.6155499685796078,TEITSBCB
ASV_47,E,C,B,-0.6261911797330906,TEITSECB
ASV_47,E,C,A,-0.6158644382781722,TEITSECA
ASV_47,D,C,B,-0.6440541188487399,TEITSDCB
ASV_47,A,C,B,-0.6468369156417797,TEITSACB
ASV_47,A,C,A,-0.659895580527698,TEITSACA
ASV_47,C,C,B,4.156075799816444,TEITSCCB
ASV_47,B,C,B,-0.6155499685796078,TEITSBCB
ASV_56,E,C,B,-0.6261911797330906,TEITSECB
ASV_56,E,C,A,-0.6158644382781722,TEITSECA
ASV_56,D,C,B,-0.6440541188487399,TEITSDCB
ASV_56,A,C,B,-0.6468369156417797,TEITSACB
ASV_56,A,C,A,-0.659895580527698,TEITSACA
ASV_56,C,C,B,-0.6457997202687444,TEITSCCB
ASV_56,B,C,B,9.506654683801841,TEITSBCB
ASV_37,E,C,B,-0.6261911797330906,TEITSECB
ASV_37,E,C,A,-0.6158644382781722,TEITSECA
ASV_37,D,C,B,-0.6440541188487399,TEITSDCB
ASV_37,A,C,B,-0.6468369156417797,TEITSACB
ASV_37,A,C,A,-0.659895580527698,TEITSACA
ASV_37,C,C,B,-0.6457997202687444,TEITSCCB
ASV_37,B,C,B,-0.6155499685796078,TEITSBCB
ASV_51,E,C,B,-0.6261911797330906,TEITSECB
ASV_51,E,C,A,-0.6158644382781722,TEITSECA
ASV_51,D,C,B,-0.6440541188487399,TEITSDCB
ASV_51,A,C,B,9.453313559364386,TEITSACB
ASV_51,A,C,A,6.953867338478652,TEITSACA
ASV_51,C,C,B,5.885323104006387,TEITSCCB
ASV_51,B,C,B,-0.6155499685796078,TEITSBCB
ASV_60,E,C,B,-0.6261911797330906,TEITSECB
ASV_60,E,C,A,-0.6158644382781722,TEITSECA
ASV_60,D,C,B,-0.6440541188487399,TEITSDCB
ASV_60,A,C,B,-0.6468369156417797,TEITSACB
ASV_60,A,C,A,-0.659895580527698,TEITSACA
ASV_60,C,C,B,-0.6457997202687444,TEITSCCB
ASV_60,B,C,B,-0.6155499685796078,TEITSBCB
ASV_21,E,C,B,7.038342219323177,TEITSECB
ASV_21,E,C,A,-0.6158644382781722,TEITSECA
